name,F1
"[x, x, x]",0.0
"[1, 1, 1]",0.4567993989481593
"[50, 50, 50]",0.5527043031977892
"[400, 400, 400]",0.5825649622799665
"[1, 1, 1500]",0.28835712849386685
"[100, 50, 25]",0.533131389625142
"[200, 100, 50]",0.5864223240316535
"[50, 25, 13]",0.6045296167247387
"[150, 75, 38]",0.5725971370143149
"[250, 125, 63]",0.5905812473483242
"[300, 150, 75]",0.5606121627064036
"[350, 175, 88]",0.5994809688581315
"[400, 200, 100]",0.6072838964458096
"[450, 225, 113]",0.5875850340136054
"[500, 250, 125]",0.5667619436504696
"[400, 8, 8]",0.6050420168067226
"[22, 6, 6]",0.6241737488196412
"[270, 90, 30]",0.6237442922374429
