experiment_id,start_time,end_time,sleepstage,signal_type,batch_size,epochs_per_individual,population_size,generations,offspring_variation,crossover_prob,mutation_prob,tournament_size,min_kernel_size,max_kernel_size,data_points_per_individual,best,second_best,third_best,toc_on,toc_generations_between,toc_tournament_size,dataset_name,max_time_spent_training,toc_batch_size,fitness_function
0,2025-06-18 21:18:23.533607,2025-06-18 22:52:51.085925,wake,EEG_Fpz-Cz,32,4,20,15,3,0.7,0.2,3,1,1500,3000,"1. Left=[75, 8, 8], Right=[627, 8, 8], Fitness=0.9757","2. Left=[75, 8, 8], Right=[906, 8, 8], Fitness=0.9549","3. Left=[75, 8, 8], Right=[1299, 8, 8], Fitness=0.9543",True,5,0.3,sleepEDFX,3,32,F1
1,2025-06-18 23:35:27.391779,2025-06-19 01:09:19.968619,wake,EEG_Pz-Oz,32,4,20,15,3,0.7,0.2,3,1,1500,3000,"1. Left=[1093, 8, 8], Right=[64, 8, 8], Fitness=0.9766","2. Left=[153, 8, 8], Right=[579, 8, 8], Fitness=0.9544","3. Left=[1263, 8, 8], Right=[613, 8, 8], Fitness=0.9544",True,5,0.3,sleepEDFX,3,32,F1
2,2025-06-19 12:20:23.772863,2025-06-19 13:32:53.979490,wake,EOG_horizontal,32,4,20,15,3,0.7,0.2,3,1,1500,3000,"1. Left=[30, 8, 8], Right=[239, 8, 8], Fitness=0.9726","2. Left=[53, 8, 8], Right=[523, 8, 8], Fitness=0.9714","3. Left=[31, 8, 8], Right=[1101, 8, 8], Fitness=0.9564",True,5,0.2,sleepEDFX,3,128,F1
3,2025-06-19 21:35:18.416906,2025-06-19 22:46:31.476626,wake,EMG_submental,32,4,20,15,5,0.7,0.2,3,1,15,1000,"1. Left=[6, 8, 8], Right=[1, 8, 8], Fitness=0.9229","2. Left=[10, 8, 8], Right=[1, 8, 8], Fitness=0.9160","3. Left=[7, 8, 8], Right=[6, 8, 8], Fitness=0.9159",True,5,0.2,sleepEDFX,3,128,F1
4,2025-06-19 23:08:24.962875,2025-06-20 02:12:33.602091,light-sleep,EEG_Fpz-Cz,32,4,20,15,5,0.7,0.2,3,1,1500,3000,"1. Left=[58, 8, 8], Right=[196, 8, 8], Fitness=0.8232","2. Left=[53, 8, 8], Right=[10, 8, 8], Fitness=0.7984","3. Left=[54, 8, 8], Right=[466, 8, 8], Fitness=0.7169",True,5,0.2,sleepEDFX,3,128,F1
