Epoch,Train Loss,Test Loss,Precision,Recall,F1,Accuracy,Learning rate,Best F1,Time,Name
0,0.828559199431764,0.38085327479563647,0.43171806167400884,0.8691796008869179,0.5768947755702722,0.906488859977232,5e-05,0.5768947755702722,4.342506,"[[300, 150, 75]]"
0,0.8463131820628839,0.4926469657533168,0.29315263908701855,0.9113082039911308,0.4436049649217485,0.832330460237437,5e-05,0.4436049649217485,3.077393,"[[300, 150, 75]]"
0,0.8083789783925347,0.43652271530379666,0.4539951573849879,0.8314855875831486,0.5873140172278778,0.9142950073182632,5e-05,0.5873140172278778,3.203685,"[[300, 150, 75]]"
0,0.834652545033021,0.4274441501457995,0.4307334109429569,0.8203991130820399,0.5648854961832062,0.9073020003252561,5e-05,0.5648854961832062,3.153648,"[[300, 150, 75]]"
0,0.7991716756089878,0.4368204381489564,0.3567615658362989,0.8891352549889135,0.5092063492063492,0.8742885021954789,5e-05,0.5092063492063492,3.10428,"[[300, 150, 75]]"
0,0.8141292867931276,0.520792648256804,0.23956043956043957,0.9667405764966741,0.3839718185821224,0.7724833306228656,5e-05,0.3839718185821224,3.090428,"[[300, 150, 75]]"
0,0.8299979007596471,0.6083210450999231,0.2612214863870493,0.7871396895787139,0.39226519337016574,0.8211091234347049,5e-05,0.39226519337016574,3.080273,"[[300, 150, 75]]"
0,0.8479382428782725,0.5429265464606527,0.358841778697001,0.7694013303769401,0.4894217207334274,0.8822572776061148,5e-05,0.4894217207334274,3.085376,"[[300, 150, 75]]"
0,0.8215974662795178,0.5663940668842776,0.24486200822078685,0.9246119733924612,0.3871866295264624,0.7853309481216458,5e-05,0.3871866295264624,3.081073,"[[300, 150, 75]]"
0,0.8396497374416636,0.675515544765421,0.1686976389946687,0.9822616407982262,0.28794280142996426,0.643681899495853,5e-05,0.28794280142996426,3.042529,"[[300, 150, 75]]"
0,0.8479603731419058,0.5670480744822042,0.24910607866507747,0.926829268292683,0.39267261625176136,0.7897219060009758,5e-05,0.39267261625176136,3.040953,"[[300, 150, 75]]"
0,0.8440008084372429,0.4834141336159699,0.30775075987841943,0.8980044345898004,0.45840407470288624,0.8443649373881932,5e-05,0.45840407470288624,3.047757,"[[300, 150, 75]]"
0,0.8205411556181248,0.47319852016596003,0.31456456456456455,0.9290465631929047,0.4699943914750421,0.846316474223451,5e-05,0.4699943914750421,3.071682,"[[300, 150, 75]]"
0,0.8048598161709519,0.5052227281054591,0.3568627450980392,0.8070953436807096,0.49490142760027195,0.8791673442836233,5e-05,0.49490142760027195,3.040854,"[[300, 150, 75]]"
0,0.8433938550903678,0.789360365987425,0.14539473684210527,0.9800443458980045,0.2532225723288456,0.5760286225402504,5e-05,0.2532225723288456,3.065187,"[[300, 150, 75]]"
0,0.8246176122798614,0.4453545790762412,0.32829888712241656,0.9157427937915743,0.48332358104154477,0.8563994145389494,5e-05,0.48332358104154477,3.055284,"[[300, 150, 75]]"
0,0.8184523157830802,0.44404554894385756,0.3936842105263158,0.8292682926829268,0.5339043540328337,0.8938038705480565,5e-05,0.5339043540328337,3.068383,"[[300, 150, 75]]"
0,0.8169352521191934,0.4828752078628478,0.3124006359300477,0.8713968957871396,0.459918080748976,0.8498942917547568,5e-05,0.459918080748976,3.053651,"[[300, 150, 75]]"
0,0.8441989826473322,0.49505572513674,0.3447636700648749,0.8248337028824834,0.48627450980392156,0.8721743372906163,5e-05,0.48627450980392156,3.054648,"[[300, 150, 75]]"
0,0.8310526898781493,0.8435773647864828,0.1365021328458257,0.9933481152993349,0.2400214304848647,0.5386241665311433,5e-05,0.2400214304848647,3.106097,"[[300, 150, 75]]"
0,0.8025019790283369,0.3995575160006233,0.390625,0.8869179600886918,0.5423728813559322,0.8902260530167507,5e-05,0.5423728813559322,3.069221,"[[300, 150, 75]]"
0,0.8234694875144478,0.4358064092684808,0.3558282208588957,0.9002217294900222,0.5100502512562815,0.8731501057082452,5e-05,0.5100502512562815,3.083834,"[[300, 150, 75]]"
0,0.8117715443923391,0.6926929510537347,0.1580246913580247,0.9933481152993349,0.2726719415702982,0.6113189136444951,5e-05,0.2726719415702982,3.062522,"[[300, 150, 75]]"
0,0.8185002253394454,0.7135020013281264,0.16103896103896104,0.9623059866962306,0.27590591226954864,0.6295332574402341,5e-05,0.27590591226954864,3.073107,"[[300, 150, 75]]"
0,0.8576728790157848,0.46303183250377616,0.5514469453376206,0.7605321507760532,0.6393289841565704,0.9370629370629371,5e-05,0.6393289841565704,3.078043,"[[300, 150, 75]]"
0,0.871177357365267,0.646703421807828,0.18075313807531382,0.9578713968957872,0.3041182682154171,0.6784843063912831,5e-05,0.3041182682154171,3.072287,"[[300, 150, 75]]"
0,0.834477001554238,0.5631551051608992,0.3257506824385805,0.7937915742793792,0.4619354838709677,0.8643681899495853,5e-05,0.4619354838709677,3.073472,"[[300, 150, 75]]"
0,0.8404172269437101,0.6482135700120987,0.640506329113924,0.5609756097560976,0.5981087470449172,0.9447064563343633,5e-05,0.5981087470449172,3.07335,"[[300, 150, 75]]"
0,0.8178250755102188,0.4194676090515926,0.4993141289437586,0.8070953436807096,0.6169491525423729,0.9264921125386242,5e-05,0.6169491525423729,3.090317,"[[300, 150, 75]]"
0,0.8704595620444783,0.49094063767690466,0.44415584415584414,0.7583148558758315,0.5601965601965602,0.912668726622215,5e-05,0.5601965601965602,3.067177,"[[300, 150, 75]]"
0,0.8288774043458964,0.5314005868650875,0.2676529926025555,0.8824833702882483,0.4107327141382869,0.8142787445113027,5e-05,0.4107327141382869,3.08986,"[[300, 150, 75]]"
0,0.8333080270489192,0.45121183829067935,0.3314785373608903,0.9246119733924612,0.4880046811000585,0.857700439095788,5e-05,0.4880046811000585,3.075371,"[[300, 150, 75]]"
0,0.8248137199819355,0.46991658703178524,0.2748091603053435,0.9578713968957872,0.42708848245180425,0.8115140673280208,5e-05,0.42708848245180425,3.083178,"[[300, 150, 75]]"
0,0.8059518150520524,0.47041057233675493,0.3316283034953112,0.8625277161862528,0.479064039408867,0.8624166531143276,5e-05,0.479064039408867,3.095989,"[[300, 150, 75]]"
0,0.8493107484645236,0.4784108458311311,0.3339115351257589,0.8536585365853658,0.4800498753117207,0.8643681899495853,5e-05,0.4800498753117207,3.08546,"[[300, 150, 75]]"
0,0.7886911447380915,0.42728663072448025,0.34382978723404256,0.8957871396895787,0.4969249692496925,0.8669702390632623,5e-05,0.4969249692496925,3.065198,"[[300, 150, 75]]"
0,0.840992543071459,0.5050149097115378,0.3481989708404803,0.9002217294900222,0.5021645021645021,0.8690844039681249,5e-05,0.5021645021645021,3.085193,"[[300, 150, 75]]"
0,0.8448635024809921,0.5845855505684756,0.22811059907834103,0.8780487804878049,0.36213991769547327,0.7731338429012847,5e-05,0.36213991769547327,3.078629,"[[300, 150, 75]]"
0,0.818595218374947,0.4149190450920518,0.41836734693877553,0.8181818181818182,0.5536384096024006,0.9032362985851358,5e-05,0.5536384096024006,3.070237,"[[300, 150, 75]]"
0,0.842654347522297,0.5246695003038035,0.263125,0.9334811529933481,0.4105314480741102,0.8033826638477801,5e-05,0.4105314480741102,3.089341,"[[300, 150, 75]]"
0,0.8475687944448801,0.6091889787988171,0.20471698113207548,0.9623059866962306,0.337611824192921,0.7230443974630021,5e-05,0.337611824192921,3.083167,"[[300, 150, 75]]"
0,0.8410339141048796,0.6538547269114248,0.1799126637554585,0.9135254988913526,0.30062021160160524,0.688241990567572,5e-05,0.30062021160160524,3.07228,"[[300, 150, 75]]"
0,0.818630926016619,0.5203497219830145,0.3109807208717519,0.8226164079822617,0.451338199513382,0.853309481216458,5e-05,0.451338199513382,3.088766,"[[300, 150, 75]]"
0,0.7710737232781582,0.4155100084820653,0.5585874799357945,0.7716186252771619,0.6480446927374302,0.9385265896893804,5e-05,0.6480446927374302,3.096606,"[[300, 150, 75]]"
0,0.8229364911002166,0.47505466421167336,0.3455945252352438,0.8957871396895787,0.49876543209876545,0.8679460074808912,5e-05,0.49876543209876545,3.085717,"[[300, 150, 75]]"
0,0.8147837404743847,0.5135547027372309,0.26358525921299186,0.9356984478935698,0.41130604288499023,0.8035452919173849,5e-05,0.41130604288499023,3.08876,"[[300, 150, 75]]"
0,0.8376972935253654,0.498580720448304,0.26666666666666666,0.9401330376940134,0.41548260656540914,0.8059847129614571,5e-05,0.41548260656540914,3.095936,"[[300, 150, 75]]"
0,0.8582928239958585,0.4859749672567579,0.2683410442828817,0.9002217294900222,0.4134419551934827,0.8126524638152545,5e-05,0.4134419551934827,3.082319,"[[300, 150, 75]]"
0,0.8283185838905806,0.4722651251933888,0.47545582047685836,0.7516629711751663,0.5824742268041238,0.9209627581720605,5e-05,0.5824742268041238,3.083876,"[[300, 150, 75]]"
0,0.854925967933784,0.7018913581790449,0.17329657345411578,0.975609756097561,0.29431438127090304,0.6568547731338429,5e-05,0.29431438127090304,3.0938,"[[300, 150, 75]]"
0,0.81542172256791,0.43746691569019514,0.3903420523138833,0.8603104212860311,0.5370242214532872,0.8912018214343795,5e-05,0.5370242214532872,3.087806,"[[300, 150, 75]]"
0,0.8422142782161051,0.5280050095319166,0.26108998732572875,0.9135254988913526,0.40611138491867915,0.8040331761261994,5e-05,0.40611138491867915,3.081973,"[[300, 150, 75]]"
0,0.8205089984379367,0.42765696061531844,0.34628378378378377,0.9090909090909091,0.5015290519877675,0.8674581232720767,5e-05,0.5015290519877675,3.079056,"[[300, 150, 75]]"
0,0.8143883751663968,0.430061210595722,0.4282380396732789,0.8137472283813747,0.5611620795107034,0.9066514880468369,5e-05,0.5611620795107034,3.076808,"[[300, 150, 75]]"
0,0.8101028830265359,0.5204552869754877,0.2637628554143981,0.9667405764966741,0.4144486692015209,0.7996422182468694,5e-05,0.4144486692015209,3.088007,"[[300, 150, 75]]"
0,0.8177829696251135,0.5283859881914269,0.27111111111111114,0.9467849223946785,0.4215202369200395,0.8093999024231583,5e-05,0.4215202369200395,3.096503,"[[300, 150, 75]]"
0,0.8236349905847749,0.5069279586188986,0.6410256410256411,0.6651884700665188,0.6528835690968444,0.9481216457960644,5e-05,0.6528835690968444,3.099497,"[[300, 150, 75]]"
0,0.842714180100904,0.44437822928795445,0.35529830810329477,0.88470066518847,0.5069885641677255,0.8738006179866645,5e-05,0.5069885641677255,3.100444,"[[300, 150, 75]]"
0,0.8517759254830988,0.5043503349438822,0.29508196721311475,0.8780487804878049,0.44171779141104295,0.8372093023255814,5e-05,0.44171779141104295,3.082555,"[[300, 150, 75]]"
0,0.816200100667928,0.47174281716482447,0.3044117647058823,0.917960088691796,0.45720596355604637,0.8401366075784681,5e-05,0.45720596355604637,3.197457,"[[300, 150, 75]]"
0,0.8292827723190809,0.4715998595779476,0.641851106639839,0.7073170731707317,0.6729957805907173,0.9495852984225077,5e-05,0.6729957805907173,3.106898,"[[300, 150, 75]]"
0,0.8299567349653871,0.6754349266577395,0.5335820895522388,0.6341463414634146,0.5795339412360689,0.9325093511140022,5e-05,0.5795339412360689,3.100104,"[[300, 150, 75]]"
0,0.8228752429708165,0.427353170911051,0.3868756121449559,0.8758314855875832,0.5366847826086957,0.889087656529517,5e-05,0.5366847826086957,3.095989,"[[300, 150, 75]]"
0,0.8110539493750963,0.3962611139722133,0.5840266222961731,0.7782705099778271,0.6673003802281369,0.9430801756383151,5e-05,0.6673003802281369,3.088463,"[[300, 150, 75]]"
0,0.8057549772562629,0.5317508848261341,0.23465507876154265,0.9578713968957872,0.3769633507853403,0.767767116604326,5e-05,0.3769633507853403,3.090348,"[[300, 150, 75]]"
0,0.8358575224158497,0.5832869034896034,0.22359249329758712,0.9246119733924612,0.3601036269430052,0.758985200845666,5e-05,0.3601036269430052,3.094138,"[[300, 150, 75]]"
0,0.8061283489008524,0.49718973070145583,0.3066971080669711,0.893569844789357,0.456657223796034,0.8440396812489835,5e-05,0.456657223796034,3.083379,"[[300, 150, 75]]"
0,0.8364490537833751,0.7610535847208213,0.1635618479880775,0.9733924611973392,0.2800637958532695,0.6329484469019353,5e-05,0.2800637958532695,3.086232,"[[300, 150, 75]]"
0,0.8377580341105747,0.7255601348635006,0.3228602383531961,0.6607538802660754,0.43377001455604075,0.8734753618474549,5e-05,0.43377001455604075,3.115207,"[[300, 150, 75]]"
0,0.8295426073016029,0.939114475990819,0.13225331369661267,0.9955654101995566,0.23348933957358295,0.5205724508050089,5e-05,0.23348933957358295,3.106008,"[[300, 150, 75]]"
0,0.8220767696627692,0.40594113836600193,0.43742824339839265,0.844789356984479,0.5763993948562783,0.9089282810213043,5e-05,0.5763993948562783,3.101424,"[[300, 150, 75]]"
0,0.8267258628859456,0.5914540541309674,0.22408376963350785,0.9490022172949002,0.36255823803473103,0.7552447552447552,5e-05,0.36255823803473103,3.084711,"[[300, 150, 75]]"
0,0.8317482984989766,0.5481814983550621,0.2378348824494259,0.9645232815964523,0.3815789473684211,0.7706944218572126,5e-05,0.3815789473684211,3.101787,"[[300, 150, 75]]"
0,0.8100148823909136,0.47973752700326733,0.2572614107883817,0.9623059866962306,0.4059869036482694,0.7934623516018865,5e-05,0.4059869036482694,3.108824,"[[300, 150, 75]]"
0,0.8221526896185128,0.4239001479996455,0.354256233877902,0.9135254988913526,0.5105328376703842,0.871523825012197,5e-05,0.5105328376703842,3.090815,"[[300, 150, 75]]"
0,0.8185686904858965,0.3994523776529436,0.35847457627118645,0.9379157427937915,0.5187001839362354,0.8723369653602212,5e-05,0.5187001839362354,3.095443,"[[300, 150, 75]]"
0,0.8326221532862825,0.5654557219635744,0.6658823529411765,0.6274944567627494,0.6461187214611872,0.9495852984225077,5e-05,0.6461187214611872,3.092688,"[[300, 150, 75]]"
0,0.8375025397182749,0.9018533110308403,0.13101604278074866,0.9778270509977827,0.23107152213780455,0.5226866157098715,5e-05,0.23107152213780455,3.103843,"[[300, 150, 75]]"
0,0.8259968190372506,0.42941748582167166,0.36268526591107236,0.9223946784922394,0.5206508135168961,0.8754268986827126,5e-05,0.5206508135168961,3.084362,"[[300, 150, 75]]"
0,0.8715712428440922,0.575578478685839,0.22262210796915166,0.9600886917960089,0.3614357262103506,0.7511790535046349,5e-05,0.3614357262103506,3.082524,"[[300, 150, 75]]"
0,0.8193614836449131,0.47035539284006794,0.39787234042553193,0.8292682926829268,0.5377426312005751,0.8954301512441047,5e-05,0.5377426312005751,3.081146,"[[300, 150, 75]]"
0,0.8183570460271639,0.5500138611071554,0.2595520421607378,0.8736141906873615,0.40020314880650076,0.807936249796715,5e-05,0.40020314880650076,3.10548,"[[300, 150, 75]]"
0,0.8223674478476235,0.5543391337373776,0.233387358184765,0.9578713968957872,0.37532580364900087,0.7661408359082778,5e-05,0.37532580364900087,3.097639,"[[300, 150, 75]]"
0,0.8117725837412357,0.48273958425479974,0.5152905198776758,0.7472283813747228,0.6099547511312218,0.9299073020003252,5e-05,0.6099547511312218,3.104144,"[[300, 150, 75]]"
0,0.8467458123427621,0.5670585182938737,0.22502685284640173,0.9290465631929047,0.36230004323389536,0.7601235973328997,5e-05,0.36230004323389536,3.093379,"[[300, 150, 75]]"
0,0.8462331252451762,0.603695239724522,0.20471698113207548,0.9623059866962306,0.337611824192921,0.7230443974630021,5e-05,0.337611824192921,3.102182,"[[300, 150, 75]]"
0,0.8293702930939085,0.6233948552137392,0.20972495088408644,0.9467849223946785,0.3433856051467632,0.734428362335339,5e-05,0.3433856051467632,3.081764,"[[300, 150, 75]]"
0,0.825731722769986,0.5954815228793036,0.20941176470588235,0.9866962305986696,0.3454968944099379,0.725809074646284,5e-05,0.3454968944099379,3.093478,"[[300, 150, 75]]"
0,0.8232089961336232,0.6287426262837074,0.18972162740899357,0.9822616407982262,0.3180186647523331,0.6910066677508538,5e-05,0.3180186647523331,3.105592,"[[300, 150, 75]]"
0,0.8542812340200068,0.5102693394425052,0.30917874396135264,0.8514412416851441,0.4536326048434731,0.8495690356155472,5e-05,0.4536326048434731,3.100745,"[[300, 150, 75]]"
0,0.8074341587649504,0.4236707852165531,0.3379591836734694,0.917960088691796,0.49403341288782815,0.8620913969751179,5e-05,0.49403341288782815,3.088096,"[[300, 150, 75]]"
0,0.8345284000206673,0.8787833925746751,0.13256569235311486,0.9955654101995566,0.23397602918186555,0.5218734753618475,5e-05,0.23397602918186555,3.092557,"[[300, 150, 75]]"
0,0.8300875059627091,0.43491541007453394,0.45680473372781066,0.8558758314855875,0.595679012345679,0.9147828915270776,5e-05,0.595679012345679,3.088876,"[[300, 150, 75]]"
0,0.8565311548050274,0.549087237334674,0.5354609929078015,0.6696230598669624,0.5950738916256157,0.9331598633924215,5e-05,0.5950738916256157,3.093745,"[[300, 150, 75]]"
0,0.8449502945063498,0.6718966939775396,0.1822680412371134,0.9800443458980045,0.30737134909596664,0.676044885347211,5e-05,0.30737134909596664,3.098008,"[[300, 150, 75]]"
0,0.8506078938981335,0.5110571791164505,0.24847374847374848,0.9024390243902439,0.3896601244614648,0.7926492112538625,5e-05,0.3896601244614648,3.090788,"[[300, 150, 75]]"
0,0.8313720743016488,0.3736456858857819,0.4688995215311005,0.8691796008869179,0.6091686091686092,0.9181980809887786,5e-05,0.6091686091686092,3.099572,"[[300, 150, 75]]"
0,0.7982310979747087,0.4600418998199006,0.2901934623082055,0.9645232815964523,0.4461538461538462,0.8243616848268011,5e-05,0.4461538461538462,3.088564,"[[300, 150, 75]]"
0,0.8274993816708724,0.4186265189040093,0.36693914623069934,0.8957871396895787,0.520618556701031,0.8790047162140185,5e-05,0.520618556701031,3.088668,"[[300, 150, 75]]"
0,0.8218942832116788,0.46013847535791425,0.4643734643734644,0.8381374722838137,0.5976284584980237,0.9172223125711498,5e-05,0.5976284584980237,3.105938,"[[300, 150, 75]]"
1,0.5000501855835159,0.713003066971663,0.16648168701442842,0.9977827050997783,0.2853519340519975,0.6334363311107497,5e-05,0.4384694932781799,6.17692,"[[300, 150, 75]]"
1,0.516599279923774,0.3024291214777757,0.5544554455445545,0.8691796008869179,0.6770293609671848,0.9391771019677997,5e-05,0.6770293609671848,6.293708,"[[300, 150, 75]]"
1,0.5144997350351904,0.27975411846649745,0.61875,0.8780487804878049,0.7259395050412466,0.9513742071881607,5e-05,0.7259395050412466,6.332319,"[[300, 150, 75]]"
1,0.5358445171017495,0.33790984342187025,0.5051282051282051,0.8736141906873615,0.6401299756295694,0.9279557651650675,5e-05,0.6401299756295694,6.199918,"[[300, 150, 75]]"
1,0.4979808157542134,0.7442522825075565,0.16268115942028985,0.9955654101995566,0.27966365618187483,0.6238412750040657,5e-05,0.4987405541561713,6.228045,"[[300, 150, 75]]"
1,0.49054738915465457,0.31380937758219457,0.4292828685258964,0.9556541019955654,0.5924398625429553,0.9035615547243454,5e-05,0.5924398625429553,6.275253,"[[300, 150, 75]]"
1,0.49359317729624463,0.3358991816094647,0.5194109772423026,0.8603104212860311,0.6477462437395659,0.9313709546267686,5e-05,0.6477462437395659,6.230118,"[[300, 150, 75]]"
1,0.5329350967468175,0.3863924506098725,0.3851224105461394,0.9068736141906873,0.5406477197620622,0.8869734916246544,5e-05,0.5406477197620622,6.184463,"[[300, 150, 75]]"
1,0.48755241511735864,0.36890947168814414,0.32987398072646407,0.9866962305986696,0.49444444444444446,0.8520084566596194,5e-05,0.49444444444444446,6.193443,"[[300, 150, 75]]"
1,0.5031711186061939,0.9594416317028192,0.1259073143495254,1.0,0.22365484750805853,0.49081151406732804,5e-05,0.3732142857142857,6.37717,"[[300, 150, 75]]"
1,0.5524905785127988,0.3553819368623838,0.35394629780309195,0.9645232815964523,0.5178571428571429,0.8682712636201009,5e-05,0.5178571428571429,6.249236,"[[300, 150, 75]]"
1,0.5238090516004801,0.3956298974107428,0.33182503770739064,0.975609756097561,0.4952166572875633,0.854122621564482,5e-05,0.4952166572875633,6.208869,"[[300, 150, 75]]"
1,0.588170397913845,0.5678036009553855,0.21207798383262005,0.9889135254988913,0.34925606891151134,0.7297121483167994,5e-05,0.34925606891151134,6.209839,"[[300, 150, 75]]"
1,0.5318872257943512,0.35235885874704337,0.3734513274336283,0.9356984478935698,0.5338393421884883,0.8801431127012522,5e-05,0.5991341991341992,6.16899,"[[300, 150, 75]]"
1,0.5551198880245226,0.4089488643691838,0.6104347826086957,0.7782705099778271,0.6842105263157895,0.9473085054480403,5e-05,0.6842105263157895,6.209196,"[[300, 150, 75]]"
1,0.5350368723025123,0.2909866668941878,0.4727474972191324,0.9423503325942351,0.6296296296296297,0.9186859651975932,5e-05,0.6296296296296297,6.16665,"[[300, 150, 75]]"
1,0.49652562757390506,0.33504154056354274,0.45614035087719296,0.9223946784922394,0.6104181951577403,0.9136444950398439,5e-05,0.6445012787723785,6.180887,"[[300, 150, 75]]"
1,0.5454080888098037,0.30992124588203773,0.45435016111707843,0.9379157427937915,0.6121562952243126,0.9128313546918199,5e-05,0.6121562952243126,6.191263,"[[300, 150, 75]]"
1,0.5280223709967172,0.4149204998757708,0.5577812018489985,0.802660753880266,0.6581818181818182,0.93885184582859,5e-05,0.6581818181818182,6.19525,"[[300, 150, 75]]"
1,0.5143261560006711,0.35805633380599555,0.4334398296059638,0.9024390243902439,0.5856115107913669,0.9063262319076273,5e-05,0.5856115107913669,6.182747,"[[300, 150, 75]]"
1,0.5290580647034072,0.3472548576462926,0.5405027932960894,0.8580931263858093,0.6632390745501285,0.9360871686453082,5e-05,0.6632390745501285,6.191571,"[[300, 150, 75]]"
1,0.48708163917976705,0.2898169026411264,0.5929878048780488,0.8625277161862528,0.7028003613369467,0.9464953651000163,5e-05,0.7028003613369467,6.192087,"[[300, 150, 75]]"
1,0.5052949109246968,0.30465955991321586,0.5120101137800253,0.8980044345898004,0.6521739130434783,0.9297446739307205,5e-05,0.6521739130434783,6.197776,"[[300, 150, 75]]"
1,0.5816919859806643,0.3268983445529686,0.41807348560079444,0.9334811529933481,0.5775034293552812,0.8998211091234347,5e-05,0.5775034293552812,6.197431,"[[300, 150, 75]]"
1,0.5025228969562782,0.39229014758696146,0.6375,0.7915742793791575,0.7062314540059347,0.9516994633273703,5e-05,0.7062314540059347,6.180626,"[[300, 150, 75]]"
1,0.5042076757854068,0.5029498216368781,0.2556390977443609,0.9800443458980045,0.4055045871559633,0.7892340217921613,5e-05,0.4055045871559633,6.185416,"[[300, 150, 75]]"
1,0.5280009849633521,0.2859676658554685,0.5932944606413995,0.9024390243902439,0.7159190853122251,0.9474711335176451,5e-05,0.7159190853122251,6.185286,"[[300, 150, 75]]"
1,0.5051370445763201,0.407117234078592,0.7651162790697674,0.729490022172949,0.7468785471055619,0.9637339404781265,5e-05,0.7468785471055619,6.195421,"[[300, 150, 75]]"
1,0.5124523541790789,0.5522723374380912,0.2863099374565671,0.9135254988913526,0.43597883597883597,0.8266384778012685,5e-05,0.43597883597883597,6.187586,"[[300, 150, 75]]"
1,0.5297525095264217,0.35244056009571617,0.36828644501278773,0.9578713968957872,0.5320197044334976,0.8764026671003415,5e-05,0.5320197044334976,6.176711,"[[300, 150, 75]]"
