experiment_id,generation,number_of_trained_individuals,individual_count_per_layer,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,loss_mean,loss_std,loss_median,loss_min,loss_max
0,0,20,"[20, 0, 0]",0.609,0.078,0.606,0.446,0.724,"(exp:0,gen:0,id:5), fitness:0.724, branches:[[800, 400], [1080, 540], [480, 240, 120]]"
0,1,20,"[17, 0, 0]",0.522,0.069,0.515,0.424,0.605,"(exp:0,gen:1,id:5), fitness:0.724, branches:[[800, 400], [1080, 540], [480, 240, 120]]"
0,2,20,"[20, 20, 0]",0.585,0.061,0.578,0.472,0.717,"(exp:0,gen:2,id:35), fitness:0.717, branches:[[620, 310]]"
0,3,20,"[17, 17, 0]",0.437,0.15,0.528,0.219,0.649,"(exp:0,gen:3,id:5), fitness:0.726, branches:[[260, 470], [560, 280, 140, 70], [1400, 700, 350]]"
0,4,20,"[20, 17, 0]",0.441,0.198,0.399,0.219,0.914,"(exp:0,gen:4,id:25), fitness:0.914, branches:[[480, 240, 120, 60], [20, 10, 5], [460, 230, 115]]"
0,5,20,"[17, 18, 0]",0.407,0.163,0.388,0.219,0.643,"(exp:0,gen:5,id:25), fitness:0.914, branches:[[480, 240, 120, 60], [20, 10, 5], [460, 230, 115]]"
0,6,20,"[20, 17, 5]",0.416,0.182,0.298,0.219,0.67,"(exp:0,gen:6,id:5), fitness:0.696, branches:[[500, 250], [460, 230]]"
0,7,20,"[20, 22, 5]",0.374,0.177,0.259,0.146,0.647,"(exp:0,gen:7,id:5), fitness:0.782, branches:[[1360, 340]]"
0,8,20,"[20, 13, 5]",0.41,0.2,0.365,0.146,0.682,"(exp:0,gen:8,id:4), fitness:0.694, branches:[[1360, 680, 325]]"
0,9,20,"[20, 7, 4]",0.407,0.172,0.476,0.146,0.623,"(exp:0,gen:9,id:2), fitness:0.711, branches:[[500, 250], [1320, 660, 330], [1440, 720]]"
1,0,20,"[20, 0, 0]",0.581,0.065,0.604,0.447,0.677,"(exp:0,gen:0,id:49), fitness:0.677, branches:[[600, 300], [840, 420, 210]]"
1,1,20,"[16, 0, 0]",0.65,0.021,0.663,0.608,0.677,"(exp:0,gen:1,id:12), fitness:0.704, branches:[[600, 400], [840, 420, 210, 105]]"
1,2,20,"[20, 20, 0]",0.611,0.045,0.605,0.499,0.722,"(exp:0,gen:2,id:49), fitness:0.722, branches:[[420, 210]]"
1,3,20,"[20, 19, 0]",0.656,0.034,0.658,0.584,0.722,"(exp:0,gen:3,id:49), fitness:0.722, branches:[[420, 210]]"
1,4,20,"[20, 20, 0]",0.604,0.081,0.629,0.325,0.698,"(exp:0,gen:4,id:3), fitness:0.851, branches:[[1440, 820]]"
1,5,20,"[19, 19, 0]",0.631,0.079,0.648,0.375,0.698,"(exp:0,gen:5,id:24), fitness:0.698, branches:[[950, 190]]"
1,6,20,"[20, 17, 4]",0.57,0.118,0.611,0.327,0.77,"(exp:0,gen:6,id:28), fitness:0.77, branches:[[1340, 670, 335], [600, 300, 150, 75], [1460, 730, 365]]"
1,7,20,"[20, 24, 5]",0.545,0.147,0.631,0.203,0.77,"(exp:0,gen:7,id:28), fitness:0.77, branches:[[1340, 670, 335], [600, 300, 150, 75], [1460, 730, 365]]"
1,8,20,"[20, 24, 5]",0.536,0.143,0.592,0.203,0.705,"(exp:0,gen:8,id:28), fitness:0.77, branches:[[1340, 670, 335], [600, 300, 150, 75], [1460, 730, 365]]"
1,9,20,"[18, 8, 4]",0.605,0.133,0.647,0.212,0.705,"(exp:0,gen:9,id:32), fitness:0.705, branches:[[1160, 580, 290, 145]]"
2,0,20,"[20, 0, 0, 0]",0.594,0.072,0.592,0.469,0.727,"(exp:0,gen:0,id:2), fitness:0.727, branches:[[1200, 600, 300, 150], [660, 330], [660, 330, 165, 82]]"
2,1,20,"[17, 0, 0, 0]",0.516,0.048,0.507,0.469,0.638,"(exp:0,gen:1,id:2), fitness:0.727, branches:[[1200, 600, 300, 150], [660, 330], [660, 330, 165, 82]]"
2,2,20,"[20, 20, 0, 0]",0.562,0.087,0.545,0.444,0.698,"(exp:0,gen:2,id:47), fitness:0.698, branches:[[840, 420, 210, 105], [920, 460, 230, 115], [760, 380, 190]]"
2,3,20,"[18, 18, 0, 0]",0.489,0.06,0.468,0.417,0.624,"(exp:0,gen:3,id:14), fitness:0.698, branches:[[1000, 500], [1280, 640, 320], [860, 430]]"
2,4,20,"[20, 9, 19, 0]",0.522,0.09,0.485,0.405,0.723,"(exp:0,gen:4,id:3), fitness:0.782, branches:[[1, 340, 170, 85]]"
2,5,20,"[17, 4, 20, 0]",0.413,0.098,0.452,0.278,0.591,"(exp:0,gen:5,id:40), fitness:0.723, branches:[[1220, 610], [1340, 670, 335]]"
2,6,20,"[20, 17, 3, 5]",0.469,0.12,0.446,0.26,0.695,"(exp:0,gen:6,id:55), fitness:0.812, branches:[[1, 1]]"
2,7,20,"[19, 9, 0, 5]",0.437,0.107,0.46,0.186,0.559,"(exp:0,gen:7,id:55), fitness:0.812, branches:[[1, 1]]"
2,8,20,"[20, 8, 0, 5]",0.487,0.146,0.473,0.186,0.714,"(exp:0,gen:8,id:28), fitness:0.714, branches:[[860, 430, 215], [1420, 710]]"
2,9,20,"[17, 10, 0, 5]",0.422,0.101,0.44,0.186,0.552,"(exp:0,gen:9,id:28), fitness:0.714, branches:[[860, 430, 215], [1420, 710]]"
2,10,20,"[20, 8, 0, 5]",0.486,0.149,0.506,0.186,0.729,"(exp:0,gen:10,id:39), fitness:0.729, branches:[[1460, 730, 365, 182]]"
2,11,20,"[8, 11, 0, 5]",0.397,0.104,0.436,0.186,0.542,"(exp:0,gen:11,id:39), fitness:0.729, branches:[[1460, 730, 365, 182]]"
2,12,20,"[20, 15, 0, 5]",0.481,0.145,0.439,0.186,0.738,"(exp:0,gen:12,id:31), fitness:0.738, branches:[[1380, 690, 345, 172]]"
2,13,20,"[16, 6, 0, 5]",0.417,0.115,0.433,0.186,0.612,"(exp:0,gen:13,id:31), fitness:0.738, branches:[[1380, 690, 345, 172]]"
3,0,20,"[20, 0, 0, 0]",0.62,0.075,0.616,0.453,0.754,"(exp:0,gen:0,id:41), fitness:0.754, branches:[[1080, 540, 270, 135]]"
3,1,20,"[20, 0, 0, 0]",0.583,0.08,0.561,0.461,0.754,"(exp:0,gen:1,id:41), fitness:0.754, branches:[[1080, 540, 270, 135]]"
3,2,20,"[20, 19, 0, 0]",0.634,0.097,0.669,0.475,0.829,"(exp:0,gen:2,id:31), fitness:0.829, branches:[[1040, 520, 260, 130]]"
3,3,20,"[15, 16, 0, 0]",0.595,0.098,0.571,0.475,0.829,"(exp:0,gen:3,id:31), fitness:0.829, branches:[[1040, 520, 260, 130]]"
3,4,20,"[20, 18, 20, 0]",0.584,0.107,0.527,0.456,0.822,"(exp:0,gen:4,id:64), fitness:0.898, branches:[[1, 240, 120]]"
3,5,20,"[18, 15, 18, 0]",0.508,0.154,0.495,0.296,0.822,"(exp:0,gen:5,id:64), fitness:0.898, branches:[[1, 240, 120]]"
3,6,20,"[20, 19, 16, 5]",0.521,0.172,0.5,0.286,0.822,"(exp:0,gen:6,id:23), fitness:0.822, branches:[[1, 140, 70]]"
3,7,20,"[17, 16, 13, 5]",0.488,0.179,0.499,0.209,0.822,"(exp:0,gen:7,id:23), fitness:0.822, branches:[[1, 140, 70]]"
3,8,20,"[20, 12, 2, 5]",0.581,0.183,0.574,0.196,0.856,"(exp:0,gen:8,id:47), fitness:0.856, branches:[[1340, 670, 335]]"
3,9,20,"[14, 3, 3, 5]",0.52,0.184,0.526,0.196,0.856,"(exp:0,gen:9,id:47), fitness:0.856, branches:[[1340, 670, 335]]"
3,10,20,"[20, 0, 0, 5]",0.581,0.174,0.638,0.225,0.789,"(exp:0,gen:10,id:14), fitness:0.867, branches:[[1, 280]]"
3,11,20,"[18, 0, 0, 5]",0.526,0.158,0.538,0.225,0.819,"(exp:0,gen:11,id:4), fitness:0.819, branches:[[1220, 610, 155]]"
3,12,20,"[20, 0, 0, 5]",0.541,0.168,0.545,0.225,0.789,"(exp:0,gen:12,id:4), fitness:0.819, branches:[[1220, 610, 155]]"
3,13,20,"[20, 0, 0, 5]",0.486,0.143,0.479,0.225,0.789,"(exp:0,gen:13,id:22), fitness:0.789, branches:[[1420, 710, 355]]"
4,0,20,[20],0.74,0.05,0.75,0.6,0.81,0.74,0.05,0.75,0.6,0.81
4,1,20,[19],0.77,0.05,0.78,0.6,0.81,0.77,0.05,0.78,0.6,0.81
4,2,20,"[20, 20]",0.77,0.04,0.77,0.63,0.82,0.77,0.04,0.77,0.63,0.82
4,3,20,"[16, 17]",0.77,0.07,0.78,0.48,0.82,0.77,0.07,0.78,0.48,0.82
4,4,20,"[18, 20]",0.74,0.09,0.78,0.47,0.84,0.74,0.09,0.78,0.47,0.84
4,5,20,"[14, 17]",0.75,0.1,0.79,0.47,0.84,0.75,0.1,0.79,0.47,0.84
4,6,20,"[14, 5, 20]",0.71,0.11,0.77,0.47,0.83,0.71,0.11,0.77,0.47,0.83
4,7,20,"[21, 27, 5]",0.66,0.14,0.77,0.37,0.82,0.66,0.14,0.77,0.37,0.82
4,8,20,"[10, 5, 20]",0.66,0.12,0.71,0.34,0.8,0.66,0.12,0.71,0.34,0.8
4,9,20,"[12, 17, 4]",0.68,0.13,0.76,0.34,0.8,0.68,0.13,0.76,0.34,0.8
4,10,20,"[6, 5, 20]",0.67,0.12,0.72,0.34,0.81,0.67,0.12,0.72,0.34,0.81
4,11,20,"[19, 2, 5]",0.71,0.12,0.78,0.34,0.81,0.71,0.12,0.78,0.34,0.81
4,12,20,"[5, 20]",0.7,0.1,0.73,0.34,0.81,0.7,0.1,0.73,0.34,0.81
4,13,20,"[5, 19]",0.73,0.11,0.78,0.34,0.81,0.73,0.11,0.78,0.34,0.81
5,0,20,[20],0.55,0.28,0.53,0.08,0.96,0.74,0.05,0.75,0.62,0.83
5,1,20,[18],0.8,0.2,0.84,0.08,0.96,0.71,0.07,0.73,0.62,0.81
5,2,20,"[20, 20]",0.55,0.25,0.56,0.14,0.97,0.73,0.06,0.74,0.62,0.82
5,3,20,"[16, 20]",0.71,0.22,0.69,0.06,0.99,0.67,0.12,0.71,0.47,0.81
5,4,20,"[16, 20]",0.58,0.31,0.65,0.04,0.99,0.67,0.12,0.71,0.47,0.83
5,5,20,"[18, 17]",0.77,0.23,0.82,0.01,0.99,0.62,0.12,0.68,0.46,0.83
5,6,20,"[17, 4, 20]",0.63,0.34,0.82,0.0,0.99,0.62,0.13,0.51,0.46,0.82
5,7,20,"[15, 24, 5]",0.82,0.25,0.94,0.0,1.0,0.58,0.15,0.51,0.37,0.82
5,8,20,"[14, 5, 20]",0.65,0.3,0.72,0.03,0.99,0.61,0.15,0.51,0.37,0.83
5,9,20,"[17, 13, 4]",0.77,0.27,0.87,0.01,0.99,0.6,0.15,0.57,0.37,0.82
5,10,20,"[15, 5, 20]",0.7,0.33,0.87,0.0,1.0,0.6,0.15,0.51,0.36,0.8
5,11,20,"[20, 13, 5]",0.79,0.29,0.92,0.0,1.0,0.61,0.15,0.64,0.36,0.81
5,12,20,"[11, 5, 20]",0.61,0.31,0.66,0.01,1.0,0.62,0.16,0.66,0.36,0.86
5,13,20,"[16, 12, 5]",0.79,0.26,0.85,0.01,1.0,0.59,0.16,0.5,0.36,0.86
6,0,20,"[20, 0, 0]",0.43,0.29,0.38,0.0,0.97,0.7,0.02,0.7,0.65,0.75
