experiment_id,generation,individual_id,age,layer,model_performance
4,9,18,5,1,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.67, 'precision': 0.6, 'recall': 0.79, 'accuracy': 0.74, 'learning_rate': 0.0, 'branches': [1300, 650, 325], 'best_f1': 0.68, 'best_auc': 0.84, 'time': 9.31}"
4,9,22,6,2,"{'epoch': 9, 'train_loss': 0.58, 'test_loss': 0.64, 'precision': 0.55, 'recall': 0.88, 'accuracy': 0.71, 'learning_rate': 0.0, 'branches': [1, 690], 'best_f1': 0.69, 'best_auc': 0.85, 'time': 227.7}"
4,10,12,4,1,"{'epoch': 0, 'train_loss': 0.79, 'test_loss': 0.67, 'precision': 0.62, 'recall': 0.8, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [1280, 690], 'best_f1': 0.7, 'best_auc': 0.84, 'time': 4.08}"
4,10,29,7,2,"{'epoch': 9, 'train_loss': 0.58, 'test_loss': 0.63, 'precision': 0.59, 'recall': 0.84, 'accuracy': 0.73, 'learning_rate': 0.0, 'branches': [1, 740], 'best_f1': 0.7, 'best_auc': 0.85, 'time': 241.1}"
4,10,42,0,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.69, 'precision': 0.63, 'recall': 0.71, 'accuracy': 0.74, 'learning_rate': 0.0, 'branches': [820, 410], 'best_f1': 0.67, 'best_auc': 0.82, 'time': 2.65}"
4,11,42,1,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.69, 'precision': 0.63, 'recall': 0.71, 'accuracy': 0.74, 'learning_rate': 0.0, 'branches': [820, 410], 'best_f1': 0.67, 'best_auc': 0.82, 'time': 2.65}"
4,11,37,4,1,"{'epoch': 2, 'train_loss': 0.54, 'test_loss': 0.48, 'precision': 0.7, 'recall': 0.89, 'accuracy': 0.83, 'learning_rate': 0.0, 'branches': [1330, 640], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 24.04}"
4,11,22,8,2,"{'epoch': 9, 'train_loss': 0.59, 'test_loss': 0.68, 'precision': 0.63, 'recall': 0.73, 'accuracy': 0.75, 'learning_rate': 0.0, 'branches': [1, 690], 'best_f1': 0.69, 'best_auc': 0.84, 'time': 227.97}"
4,12,26,9,2,"{'epoch': 9, 'train_loss': 0.59, 'test_loss': 0.7, 'precision': 0.69, 'recall': 0.61, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [1, 690], 'best_f1': 0.7, 'best_auc': 0.84, 'time': 228.05}"
4,12,31,0,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.76, 'precision': 0.5, 'recall': 0.91, 'accuracy': 0.64, 'learning_rate': 0.0, 'branches': [1360, 680, 340], 'best_f1': 0.64, 'best_auc': 0.8, 'time': 4.79}"
4,13,26,9,2,"{'epoch': 9, 'train_loss': 0.59, 'test_loss': 0.7, 'precision': 0.69, 'recall': 0.61, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [1, 690], 'best_f1': 0.7, 'best_auc': 0.84, 'time': 228.05}"
4,13,31,0,0,"{'epoch': 0, 'train_loss': 0.81, 'test_loss': 0.76, 'precision': 0.5, 'recall': 0.91, 'accuracy': 0.64, 'learning_rate': 0.0, 'branches': [1360, 680, 340], 'best_f1': 0.64, 'best_auc': 0.8, 'time': 4.79}"
5,0,35,0,0,"{'epoch': 0, 'train_loss': 0.79, 'test_loss': 0.63, 'precision': 0.64, 'recall': 0.88, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [760, 380], 'best_f1': 0.74, 'best_auc': 0.87, 'time': 2.52}"
5,1,35,0,0,"{'epoch': 0, 'train_loss': 0.79, 'test_loss': 0.63, 'precision': 0.64, 'recall': 0.88, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [760, 380], 'best_f1': 0.74, 'best_auc': 0.87, 'time': 2.52}"
5,2,21,2,1,"{'epoch': 0, 'train_loss': 0.75, 'test_loss': 0.73, 'precision': 0.54, 'recall': 0.91, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [760, 330, 290], 'best_f1': 0.68, 'best_auc': 0.85, 'time': 2.92}"
5,2,35,0,0,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.59, 'precision': 0.61, 'recall': 0.86, 'accuracy': 0.76, 'learning_rate': 0.0, 'branches': [180, 90, 45], 'best_f1': 0.71, 'best_auc': 0.87, 'time': 1.3}"
5,3,9,1,0,"{'epoch': 0, 'train_loss': 0.8, 'test_loss': 0.77, 'precision': 0.68, 'recall': 0.79, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [620, 380], 'best_f1': 0.73, 'best_auc': 0.83, 'time': 2.32}"
5,3,16,2,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
5,4,16,2,1,"{'epoch': 2, 'train_loss': 0.48, 'test_loss': 0.53, 'precision': 0.67, 'recall': 0.94, 'accuracy': 0.8, 'learning_rate': 0.0, 'branches': [160, 490, 245], 'best_f1': 0.78, 'best_auc': 0.92, 'time': 13.61}"
