Name,Experiment_ID,Start_Time,End_Time,Sleepstage,Signal_Type,Batch_Size,Epochs_Per_Individual,Population_Size,Generations,Crossover_Prob,Mutation_Prob,Tournament_Size,Min_Kernel_Size,Max_Kernel_Size,Data_Points_Per_Individual,Best,Second_Best,Third_Best,TDB_On,TDB_Generations_Between,TDB_Tournament_Size,TDB_Training_Epochs,TDB_Batch_Size,Dataset_Name,Max_Time_Spent_Training,Fitness_Function,Uniqueness_Function,Alpha,Beta,AB_Switch
Train loss vs f1 without even data splitting,0,2025-06-27 12:48:47.512378,2025-06-27 14:06:05.548726,N3,EEG_Pz-Oz,32,2,100,10,0.0,0.0,5,1,1500,4300,"1. Branches=[[1290, 675, 1466]], Fitness=0.8281","2. Branches=[[1386, 1440, 1061]], Fitness=0.8246","3. Branches=[[1449, 1173, 831]], Fitness=0.8191",True,16,0.3,2,128,telemetry,3,train_loss,gargoyle
"long run, small pop, big gen, no evo",1,2025-06-27 14:24:38.769366,2025-06-27 15:01:37.057938,N3,EEG_Pz-Oz,32,2,5,100,0.0,0.0,5,1,1500,4300,"1. Branches=[[508, 1426, 855]], Fitness=0.7386","2. Branches=[[332, 1392, 1088]], Fitness=0.6917","3. Branches=[[927, 398, 529]], Fitness=0.5985",True,1600000,0.3,2,128,telemetry,3,train_loss,gargoyle
Check with No time limit,2,2025-07-01 14:35:23.130248,2025-07-01 14:57:09.167361,N3,EEG_Pz-Oz,32,2,40,20,0.7,0.4,5,1,1500,4300,"1. Branches=[[740], [60]], Fitness=1.2235","2. Branches=[[610], [140]], Fitness=1.2087","3. Branches=[[1]], Fitness=1.2062",True,1600000,0.3,20,128,telemetry,6,train_loss,gargoyle,1.0,0.0,0.5
"Test new selection, 2.7.25, matur",3,2025-07-02 12:42:43.626569,2025-07-02 13:00:23.333114,N3,EEG_Pz-Oz,32,2,20,20,0.7,0.4,5,1,1500,4300,"1. Branches=[[300, 150, 75], [60, 30, 15]], Fitness=0.4197","2. Branches=[[450, 112, 56, 1], [540, 270], [1440, 360]], Fitness=0.4202","3. Branches=[[570], [50, 75, 37], [760, 380, 190]], Fitness=0.4287",True,1600000,0.3,20,128,telemetry,6,train_loss,gargoyle,1.0,0.0,0.5
ALPS test I,4,2025-07-04 13:08:00.218248,2025-07-04 13:44:49.228660,wake,EEG_Fpz-Cz,32,2,20,20,0.6,0.4,5,1,1500,"1. Branches=[[45, 22, 11]], Fitness=0.2531","2. Branches=[[40, 45, 22, 11]], Fitness=0.2730","3. Branches=[[90, 45, 1]], Fitness=0.2913",telemetry,6,train_loss,gargoyle,1.0,0.0,0.5
