experiment_id,generation,number_of_trained_individuals,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,loss_mean,loss_std,loss_median,loss_min,loss_max
26,3,3,1.16,0.04,1.16,1.1,1.21,1.16,0.04,1.16,1.1,1.21
27,0,6,0.62,0.02,0.63,0.58,0.64,0.62,0.02,0.63,0.58,0.64
27,1,3,0.62,0.03,0.63,0.56,0.64,0.62,0.03,0.63,0.56,0.64
27,2,3,0.62,0.03,0.63,0.56,0.64,0.62,0.03,0.63,0.56,0.64
27,3,3,0.63,0.03,0.64,0.55,0.65,0.63,0.03,0.64,0.55,0.65
28,0,6,0.55,0.03,0.55,0.51,0.61,0.55,0.03,0.55,0.51,0.61
28,1,3,0.57,0.04,0.57,0.49,0.61,0.57,0.04,0.57,0.49,0.61
28,2,3,0.57,0.04,0.59,0.49,0.61,0.57,0.04,0.59,0.49,0.61
28,3,3,0.58,0.04,0.61,0.49,0.61,0.58,0.04,0.61,0.49,0.61
29,0,6,0.9,0.02,0.89,0.87,0.93,0.9,0.02,0.89,0.87,0.93
29,1,3,0.9,0.02,0.9,0.85,0.93,0.9,0.02,0.9,0.85,0.93
29,2,3,0.91,0.03,0.92,0.85,0.93,0.91,0.03,0.92,0.85,0.93
29,3,3,0.91,0.03,0.92,0.85,0.93,0.91,0.03,0.92,0.85,0.93
30,0,6,0.73,0.04,0.74,0.68,0.81,0.73,0.04,0.74,0.68,0.81
30,1,3,0.74,0.03,0.76,0.68,0.77,0.74,0.03,0.76,0.68,0.77
30,2,3,0.75,0.03,0.76,0.68,0.77,0.75,0.03,0.76,0.68,0.77
30,3,3,0.75,0.04,0.77,0.68,0.77,0.75,0.04,0.77,0.68,0.77
31,0,6,1.21,0.06,1.22,1.12,1.3,1.21,0.06,1.22,1.12,1.3
31,1,3,1.22,0.07,1.21,1.11,1.3,1.22,0.07,1.21,1.11,1.3
31,2,3,1.23,0.06,1.23,1.11,1.3,1.23,0.06,1.23,1.11,1.3
31,3,3,1.26,0.07,1.28,1.11,1.3,1.26,0.07,1.28,1.11,1.3
32,0,6,0.61,0.01,0.61,0.6,0.63,0.61,0.01,0.61,0.6,0.63
32,1,3,0.62,0.01,0.62,0.6,0.63,0.62,0.01,0.62,0.6,0.63
32,2,3,0.62,0.01,0.63,0.6,0.63,0.62,0.01,0.63,0.6,0.63
32,3,3,0.62,0.01,0.63,0.6,0.63,0.62,0.01,0.63,0.6,0.63
33,0,6,0.7,0.06,0.7,0.63,0.79,0.7,0.06,0.7,0.63,0.79
33,1,3,0.74,0.05,0.76,0.63,0.79,0.74,0.05,0.76,0.63,0.79
33,2,3,0.74,0.05,0.74,0.63,0.79,0.74,0.05,0.74,0.63,0.79
33,3,3,0.75,0.06,0.77,0.63,0.79,0.75,0.06,0.77,0.63,0.79
34,0,6,0.98,0.02,0.98,0.95,1.0,0.98,0.02,0.98,0.95,1.0
34,1,3,0.99,0.02,1.0,0.95,1.02,0.99,0.02,1.0,0.95,1.02
34,2,3,0.99,0.02,1.0,0.94,1.0,0.99,0.02,1.0,0.94,1.0
34,3,3,1.03,0.04,1.04,0.94,1.05,1.03,0.04,1.04,0.94,1.05
35,0,6,0.81,0.01,0.81,0.79,0.82,0.81,0.01,0.81,0.79,0.82
35,1,3,0.81,0.01,0.81,0.78,0.82,0.81,0.01,0.81,0.78,0.82
35,2,3,0.81,0.02,0.82,0.78,0.82,0.81,0.02,0.82,0.78,0.82
35,3,3,0.81,0.02,0.82,0.78,0.82,0.81,0.02,0.82,0.78,0.82
36,0,6,1.29,0.03,1.29,1.26,1.34,1.29,0.03,1.29,1.26,1.34
36,1,3,1.32,0.03,1.34,1.26,1.34,1.32,0.03,1.34,1.26,1.34
36,2,3,1.33,0.03,1.34,1.26,1.34,1.33,0.03,1.34,1.26,1.34
36,3,3,1.33,0.03,1.34,1.26,1.34,1.33,0.03,1.34,1.26,1.34
37,0,6,0.84,0.0,0.84,0.84,0.85,0.84,0.0,0.84,0.84,0.85
37,1,3,0.84,0.0,0.84,0.84,0.85,0.84,0.0,0.84,0.84,0.85
37,2,3,0.84,0.0,0.84,0.84,0.85,0.84,0.0,0.84,0.84,0.85
37,3,3,0.84,0.0,0.85,0.84,0.85,0.84,0.0,0.85,0.84,0.85
38,0,6,1.2,0.01,1.19,1.18,1.23,1.2,0.01,1.19,1.18,1.23
38,1,3,1.21,0.02,1.23,1.17,1.23,1.21,0.02,1.23,1.17,1.23
38,2,3,1.21,0.02,1.23,1.17,1.23,1.21,0.02,1.23,1.17,1.23
38,3,3,1.22,0.02,1.23,1.17,1.23,1.22,0.02,1.23,1.17,1.23
39,0,6,0.95,0.02,0.96,0.92,0.98,0.95,0.02,0.96,0.92,0.98
39,1,3,0.95,0.02,0.96,0.92,0.97,0.95,0.02,0.96,0.92,0.97
39,2,3,0.95,0.02,0.96,0.91,0.97,0.95,0.02,0.96,0.91,0.97
39,3,3,0.95,0.02,0.96,0.91,0.97,0.95,0.02,0.96,0.91,0.97
40,0,20,0.79,0.08,0.78,0.61,0.94,0.79,0.08,0.78,0.61,0.94
40,1,10,0.86,0.07,0.88,0.61,0.94,0.86,0.07,0.88,0.61,0.94
40,2,10,0.89,0.07,0.9,0.61,0.94,0.89,0.07,0.9,0.61,0.94
41,0,20,0.67,0.07,0.66,0.49,0.79,0.67,0.07,0.66,0.49,0.79
41,1,10,0.73,0.06,0.74,0.49,0.79,0.73,0.06,0.74,0.49,0.79
41,2,10,0.75,0.07,0.77,0.49,0.8,0.75,0.07,0.77,0.49,0.8
42,0,20,0.76,0.07,0.79,0.62,0.84,0.76,0.07,0.79,0.62,0.84
