experiment_id,name,start_time,end_time,classification_class,signal_type,population_size,generations,crossover_prob,mutation_prob,selection_tournament_size,elitism,hall_of_fame_members,max_number_of_mutations,data_split_training,data_split_testing,base_batch_size,learning_rate,epoch,min_kernel_size,max_kernel_size,number_of_branches_range,number_of_kernels_range,dataset_name,max_memory,fitness_function,minimize_fitness,best,second_best,third_best
30,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:11:36.033604,2025-07-23 13:13:01.449411,wake,EOG_horizontal,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[1500, 97], [149, 117]], Fitness=0.6751","2. Branches=[[150, 688, 246, 1006]], Fitness=0.6821","3. Branches=[[666, 661, 1496], [147, 1424, 686], [705, 1033]], Fitness=0.6838"
31,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:13:02.785636,2025-07-23 13:14:40.605654,N1,EOG_horizontal,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[839, 640, 506, 741], [93, 1383]], Fitness=1.1116","2. Branches=[[113, 1271, 394], [463, 1230, 958], [813, 1366, 1005, 753]], Fitness=1.1203","3. Branches=[[1084, 702, 474]], Fitness=1.1319"
32,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:14:42.182022,2025-07-23 13:16:14.697699,N2,EOG_horizontal,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[937, 19, 294, 519], [527, 1463, 530, 1072]], Fitness=0.6010","2. Branches=[[1153, 19, 294, 519]], Fitness=0.6018","3. Branches=[[1135, 849, 862, 892], [1022, 242, 1500]], Fitness=0.6040"
33,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:16:16.198647,2025-07-23 13:17:44.890532,N3,EOG_horizontal,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[198, 562], [65, 1156, 1048, 1478]], Fitness=0.6288","2. Branches=[[353, 508, 640, 880], [1031, 1375, 789]], Fitness=0.6379","3. Branches=[[353, 508, 640, 880], [1073, 689, 1023]], Fitness=0.6552"
34,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:17:46.738665,2025-07-23 13:20:01.760099,REM,EOG_horizontal,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[744, 908, 683], [1161, 1109, 95, 1112]], Fitness=0.9412","2. Branches=[[1452, 1280, 740, 393], [218, 1353, 617]], Fitness=0.9442","3. Branches=[[969, 1467, 701, 149], [1259, 1303, 1256], [170, 197, 91, 641]], Fitness=0.9463"
35,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:20:02.537128,2025-07-23 13:21:14.125260,wake,EMG_submental,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[301, 892, 91], [832, 950, 1091, 418]], Fitness=0.7778","2. Branches=[[205, 1021], [861, 769], [260, 5, 248]], Fitness=0.7882","3. Branches=[[1324, 813, 1070, 1048], [861, 769], [260, 5, 248]], Fitness=0.7888"
36,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:21:14.540671,2025-07-23 13:22:41.855020,N1,EMG_submental,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[1155, 687], [504, 914, 1275]], Fitness=1.2557","2. Branches=[[722, 928, 368, 361]], Fitness=1.2654","3. Branches=[[1162, 612], [546, 1410, 904, 1088]], Fitness=1.2688"
37,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:22:42.274142,2025-07-23 13:23:49.124634,N2,EMG_submental,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[871, 1368]], Fitness=0.8356","2. Branches=[[340, 322, 646, 44]], Fitness=0.8364","3. Branches=[[81, 1050, 127, 199]], Fitness=0.8366"
38,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:23:49.516154,2025-07-23 13:24:40.438954,N3,EMG_submental,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[1400, 1255], [642, 996, 114, 388]], Fitness=1.1686","2. Branches=[[876, 61], [642, 996, 114, 388]], Fitness=1.1775","3. Branches=[[1435, 826], [91, 1037, 1088]], Fitness=1.1795"
39,StuffStuff --batch-size 32 --min-ks 1 --max-ks 1500 --pop-size 6 --generations 3 --st-size 3 --hof-size 3 --cx-prob 0.5 --mut-prob 0.5 --sleep-stage wake --signal EEG_Fpz-Cz --dataset sleep-EDF-20 --max-mem 512 --log-id O --log-all,2025-07-23 13:24:40.866546,2025-07-23 13:26:01.795728,REM,EMG_submental,6,3,0.5,0.5,3,1,3,3,0.7,0.3,32,0.0005,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[343, 1416, 1475]], Fitness=0.9135","2. Branches=[[1115, 484]], Fitness=0.9164","3. Branches=[[856, 1015], [1009, 1210, 703], [112, 1153, 1490, 16]], Fitness=0.9248"
40,Unnamed,2025-07-29 09:27:52.050938,2025-07-29 09:33:12.476855,wake,EEG_Fpz-Cz,20,2,0.5,0.5,4,1,3,3,0.7,0.3,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[91, 1217, 452], [306, 487]], Fitness=0.6145","2. Branches=[[914, 177, 481], [997, 715, 57], [27, 937]], Fitness=0.6622","3. Branches=[[91, 1217, 452], [306, 487], [101, 1299, 1451]], Fitness=0.6638"
41,Unnamed,2025-07-29 11:45:17.376056,2025-07-29 11:49:50.754715,wake,EEG_Fpz-Cz,20,2,0.5,0.5,4,1,3,3,0.7,0.3,1,1,1500,"(1, 3)","(2, 4)",sleep-EDF-20,512,train_loss,True,"1. Branches=[[507, 612], [20, 296, 876], [1291, 18, 983]], Fitness=0.4926","2. Branches=[[458, 200], [19, 442], [162, 68]], Fitness=0.5140","3. Branches=[[929, 225], [41, 1390, 889, 252]], Fitness=0.5293"
