experiment_id,generation,individual_id,model_performance
3,0,1,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.75, 'precision': 0.98, 'recall': 0.77, 'accuracy': 0.96, 'learning_rate': 0.0, 'branches': [[5, 6], [11, 14, 4, 2]], 'best_f1': 0.86, 'best_auc': 0.99, 'time': 1.86}"
3,0,2,"{'epoch': 0, 'train_loss': 0.43, 'test_loss': 0.24, 'precision': 0.81, 'recall': 0.97, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[8, 14, 7]], 'best_f1': 0.88, 'best_auc': 0.99, 'time': 0.88}"
3,0,3,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.62, 'precision': 0.93, 'recall': 0.86, 'accuracy': 0.96, 'learning_rate': 0.0, 'branches': [[5, 9, 14], [14, 6]], 'best_f1': 0.9, 'best_auc': 0.99, 'time': 1.13}"
3,1,2,"{'epoch': 0, 'train_loss': 0.43, 'test_loss': 0.24, 'precision': 0.81, 'recall': 0.97, 'accuracy': 0.95, 'learning_rate': 0.0, 'branches': [[8, 14, 7]], 'best_f1': 0.88, 'best_auc': 0.99, 'time': 0.88}"
3,1,3,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.62, 'precision': 0.93, 'recall': 0.86, 'accuracy': 0.96, 'learning_rate': 0.0, 'branches': [[5, 9, 14], [14, 6]], 'best_f1': 0.9, 'best_auc': 0.99, 'time': 1.13}"
3,1,1,"{'epoch': 0, 'train_loss': 0.47, 'test_loss': 0.75, 'precision': 0.98, 'recall': 0.77, 'accuracy': 0.96, 'learning_rate': 0.0, 'branches': [[5, 6], [11, 14, 4, 2]], 'best_f1': 0.86, 'best_auc': 0.99, 'time': 1.86}"
4,0,1,"{'epoch': 0, 'train_loss': 0.73, 'test_loss': 0.75, 'precision': 0.34, 'recall': 0.97, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [[8, 13, 15, 11], [10, 14, 8, 10]], 'best_f1': 0.5, 'best_auc': 0.9, 'time': 1.87}"
4,0,2,"{'epoch': 0, 'train_loss': 0.76, 'test_loss': 0.7, 'precision': 0.38, 'recall': 0.98, 'accuracy': 0.71, 'learning_rate': 0.0, 'branches': [[2, 7], [12, 3], [13, 5, 4, 1]], 'best_f1': 0.54, 'best_auc': 0.9, 'time': 1.46}"
4,0,3,"{'epoch': 0, 'train_loss': 0.75, 'test_loss': 1.72, 'precision': 0.19, 'recall': 1.0, 'accuracy': 0.29, 'learning_rate': 0.0, 'branches': [[12, 7, 5, 1], [1, 13, 2], [13, 12, 2]], 'best_f1': 0.32, 'best_auc': 0.87, 'time': 1.63}"
4,1,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.8, 'precision': 0.5, 'recall': 0.77, 'accuracy': 0.81, 'learning_rate': 0.0, 'branches': [[13, 5, 4, 1], [10, 14, 8, 10]], 'best_f1': 0.6, 'best_auc': 0.88, 'time': 1.44}"
