experiment_id,generation,number_of_trained_individuals,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,loss_mean,loss_std,loss_median,loss_min,loss_max
20,1,0,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8
20,2,0,0.8,0.0,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8
20,0,1,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.56
20,1,0,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.56
20,2,0,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.56
20,0,1,0.57,0.0,0.57,0.57,0.57,0.57,0.0,0.57,0.57,0.57
20,1,0,0.57,0.0,0.57,0.57,0.57,0.57,0.0,0.57,0.57,0.57
20,2,0,0.57,0.0,0.57,0.57,0.57,0.57,0.0,0.57,0.57,0.57
20,0,1,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.56
20,1,0,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.56
20,2,0,0.56,0.0,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.56
20,0,1,0.83,0.0,0.83,0.83,0.83,0.83,0.0,0.83,0.83,0.83
20,1,0,0.83,0.0,0.83,0.83,0.83,0.83,0.0,0.83,0.83,0.83
20,2,0,0.83,0.0,0.83,0.83,0.83,0.83,0.0,0.83,0.83,0.83
20,0,1,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
20,1,0,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
20,2,0,0.64,0.0,0.64,0.64,0.64,0.64,0.0,0.64,0.64,0.64
20,0,1,1.07,0.0,1.07,1.07,1.07,1.07,0.0,1.07,1.07,1.07
20,1,0,1.07,0.0,1.07,1.07,1.07,1.07,0.0,1.07,1.07,1.07
20,2,0,1.07,0.0,1.07,1.07,1.07,1.07,0.0,1.07,1.07,1.07
20,0,1,1.2,0.0,1.2,1.2,1.2,1.2,0.0,1.2,1.2,1.2
20,1,0,1.2,0.0,1.2,1.2,1.2,1.2,0.0,1.2,1.2,1.2
20,2,0,1.2,0.0,1.2,1.2,1.2,1.2,0.0,1.2,1.2,1.2
20,0,1,1.25,0.0,1.25,1.25,1.25,1.25,0.0,1.25,1.25,1.25
20,1,0,1.25,0.0,1.25,1.25,1.25,1.25,0.0,1.25,1.25,1.25
20,2,0,1.25,0.0,1.25,1.25,1.25,1.25,0.0,1.25,1.25,1.25
20,0,1,1.3,0.0,1.3,1.3,1.3,1.3,0.0,1.3,1.3,1.3
20,1,0,1.3,0.0,1.3,1.3,1.3,1.3,0.0,1.3,1.3,1.3
20,2,0,1.3,0.0,1.3,1.3,1.3,1.3,0.0,1.3,1.3,1.3
20,0,1,0.58,0.0,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.58
20,1,0,0.58,0.0,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.58
20,2,0,0.58,0.0,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.58
20,0,1,0.62,0.0,0.62,0.62,0.62,0.62,0.0,0.62,0.62,0.62
20,1,0,0.62,0.0,0.62,0.62,0.62,0.62,0.0,0.62,0.62,0.62
20,2,0,0.62,0.0,0.62,0.62,0.62,0.62,0.0,0.62,0.62,0.62
20,0,1,0.78,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.78,0.78
20,1,0,0.78,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.78,0.78
20,2,0,0.78,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.78,0.78
20,0,1,0.59,0.0,0.59,0.59,0.59,0.59,0.0,0.59,0.59,0.59
20,1,0,0.59,0.0,0.59,0.59,0.59,0.59,0.0,0.59,0.59,0.59
20,2,0,0.59,0.0,0.59,0.59,0.59,0.59,0.0,0.59,0.59,0.59
20,0,1,0.38,0.0,0.38,0.38,0.38,0.38,0.0,0.38,0.38,0.38
20,1,0,0.38,0.0,0.38,0.38,0.38,0.38,0.0,0.38,0.38,0.38
20,2,0,0.38,0.0,0.38,0.38,0.38,0.38,0.0,0.38,0.38,0.38
20,0,1,0.46,0.0,0.46,0.46,0.46,0.46,0.0,0.46,0.46,0.46
20,1,0,0.46,0.0,0.46,0.46,0.46,0.46,0.0,0.46,0.46,0.46
20,2,0,0.46,0.0,0.46,0.46,0.46,0.46,0.0,0.46,0.46,0.46
20,0,1,1.15,0.0,1.15,1.15,1.15,1.15,0.0,1.15,1.15,1.15
20,1,0,1.15,0.0,1.15,1.15,1.15,1.15,0.0,1.15,1.15,1.15
20,2,0,1.15,0.0,1.15,1.15,1.15,1.15,0.0,1.15,1.15,1.15
20,0,1,0.78,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.78,0.78
20,1,0,0.78,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.78,0.78
20,2,0,0.78,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.78,0.78
20,0,1,0.83,0.0,0.83,0.83,0.83,0.83,0.0,0.83,0.83,0.83
20,1,0,0.83,0.0,0.83,0.83,0.83,0.83,0.0,0.83,0.83,0.83
20,2,0,0.83,0.0,0.83,0.83,0.83,0.83,0.0,0.83,0.83,0.83
20,0,1,0.92,0.0,0.92,0.92,0.92,0.92,0.0,0.92,0.92,0.92
20,1,0,0.92,0.0,0.92,0.92,0.92,0.92,0.0,0.92,0.92,0.92
20,2,0,0.92,0.0,0.92,0.92,0.92,0.92,0.0,0.92,0.92,0.92
20,0,1,0.98,0.0,0.98,0.98,0.98,0.98,0.0,0.98,0.98,0.98
20,1,0,0.98,0.0,0.98,0.98,0.98,0.98,0.0,0.98,0.98,0.98
20,2,0,0.98,0.0,0.98,0.98,0.98,0.98,0.0,0.98,0.98,0.98
20,0,1,0.84,0.0,0.84,0.84,0.84,0.84,0.0,0.84,0.84,0.84
20,1,0,0.84,0.0,0.84,0.84,0.84,0.84,0.0,0.84,0.84,0.84
20,2,0,0.84,0.0,0.84,0.84,0.84,0.84,0.0,0.84,0.84,0.84
